,Buy
1336,1
11858,0
10831,1
5616,0
6914,0
3095,0
11826,0
3285,0
9261,0
7441,1
5676,1
1313,0
4802,1
10243,0
8955,1
2903,0
7089,0
3333,1
3053,0
9174,1
8256,1
2269,0
5497,0
4914,0
8231,0
7305,0
8786,1
12290,0
7983,0
9809,0
2114,0
10474,1
6326,1
10007,1
2602,0
10435,1
11751,0
6705,1
520,0
11339,0
4919,0
7798,0
7784,1
1092,0
4520,1
6080,1
5960,1
3771,0
1109,1
1038,0
6596,0
20,0
5840,0
10010,1
934,0
11947,0
11173,1
7974,0
1726,1
8507,0
6487,0
1737,1
4414,1
561,1
4902,1
11405,0
9815,1
1162,0
10838,1
8278,0
11170,0
1527,0
5298,1
2930,0
58,0
6357,0
5646,1
10550,0
2291,0
8809,0
7636,1
9548,0
1649,0
6338,0
2724,0
9812,1
5896,0
8408,1
11757,1
4480,1
11254,0
6390,0
3870,1
9030,0
11766,0
2907,0
8911,0
3538,0
6973,1
8499,1
8368,0
1817,0
12082,0
3949,0
337,1
2072,1
10715,0
8710,1
10256,1
3513,1
2815,1
5169,0
5684,1
6220,1
7386,0
766,1
3782,1
5372,0
1144,0
10110,1
2510,1
5058,0
2273,0
6311,1
5721,1
6498,0
10186,1
10152,0
4385,0
1672,1
9969,1
4667,1
4055,0
5026,0
1808,0
2275,0
3761,1
6292,0
8747,0
8107,1
2045,1
8797,0
9334,0
1295,0
6022,1
3952,0
8013,1
8301,0
444,0
858,0
841,0
4786,0
6021,0
11501,0
994,0
6746,0
1554,1
9413,1
6962,1
11654,1
11824,0
6595,1
2513,0
2835,1
7255,1
2233,1
3050,0
8281,0
400,0
5079,0
6092,1
8487,0
1023,1
3298,1
5270,0
6851,0
4738,1
6179,1
5306,0
7884,1
4080,1
803,1
1550,1
1009,1
7535,0
2737,0
648,1
6454,0
2862,0
4896,0
10712,1
550,1
9294,0
6535,1
211,1
11239,1
6045,1
10746,1
7080,1
3543,0
10071,0
1438,0
2515,0
2868,0
2434,1
9002,0
9858,1
4454,1
1314,0
7220,0
7822,0
3979,1
12,1
818,1
2784,1
10706,0
453,0
6685,0
11993,1
1656,1
3457,1
7286,0
10809,0
9728,0
10734,1
2908,0
6925,0
940,1
11968,1
7620,0
